income_total,DAYS_BIRTH,family_size,begin_month,credit
202500.0,-13899,2.0,-6.0,1.0
247500.0,-11380,3.0,-5.0,1.0
450000.0,-19087,2.0,-22.0,2.0
202500.0,-15088,2.0,-37.0,0.0
157500.0,-15037,2.0,-26.0,2.0
270000.0,-13413,4.0,-18.0,1.0
315000.0,-17570,1.0,-41.0,2.0
270000.0,-14896,2.0,-53.0,0.0
180000.0,-15131,3.0,-38.0,2.0
103500.0,-15785,2.0,-5.0,2.0
193500.0,-19063,1.0,-40.0,2.0
135000.0,-11759,3.0,-51.0,2.0
157500.0,-11938,3.0,-60.0,0.0
135000.0,-9887,2.0,-41.0,2.0
157500.0,-22922,1.0,-41.0,2.0
157500.0,-12859,4.0,-60.0,0.0
180000.0,-19408,2.0,-2.0,1.0
270000.0,-8853,2.0,-14.0,2.0
216000.0,-23113,2.0,-37.0,2.0
180000.0,-13727,2.0,-7.0,2.0
180000.0,-19850,2.0,-35.0,2.0
157500.0,-21253,2.0,-7.0,2.0
157500.0,-15198,2.0,-22.0,0.0
225000.0,-14542,2.0,-18.0,2.0
202500.0,-22361,1.0,-5.0,2.0
225000.0,-14058,3.0,-4.0,2.0
135000.0,-17843,3.0,-13.0,2.0
405000.0,-17309,2.0,-57.0,2.0
112500.0,-22111,2.0,-47.0,2.0
121500.0,-12017,2.0,-22.0,0.0
225000.0,-13188,2.0,-33.0,2.0
135000.0,-11762,2.0,-18.0,0.0
135000.0,-13299,2.0,-2.0,0.0
202500.0,-19200,2.0,-30.0,2.0
270000.0,-14488,3.0,-22.0,0.0
225000.0,-14438,2.0,-20.0,2.0
225000.0,-20200,1.0,-14.0,2.0
585000.0,-16653,2.0,-8.0,2.0
202500.0,-13582,2.0,-41.0,2.0
112500.0,-13022,4.0,-39.0,2.0
90900.0,-21700,2.0,-21.0,1.0
99000.0,-12752,4.0,-19.0,2.0
270000.0,-9943,3.0,-35.0,0.0
67500.0,-9963,2.0,-8.0,1.0
247500.0,-15125,2.0,-26.0,2.0
405000.0,-18655,2.0,-4.0,0.0
135000.0,-21100,1.0,-24.0,2.0
292500.0,-18409,2.0,-48.0,2.0
99000.0,-23585,2.0,-4.0,2.0
585000.0,-18858,2.0,-12.0,2.0
90000.0,-13951,3.0,-4.0,2.0
495000.0,-8917,2.0,-10.0,2.0
54000.0,-24044,2.0,-37.0,2.0
306000.0,-13541,4.0,-42.0,2.0
99000.0,-15626,3.0,-2.0,1.0
180000.0,-13856,2.0,-24.0,2.0
130500.0,-16137,2.0,-29.0,2.0
225000.0,-17031,1.0,-3.0,1.0
144000.0,-23334,2.0,-23.0,2.0
360000.0,-22985,2.0,-25.0,2.0
112500.0,-21397,1.0,-1.0,1.0
270000.0,-11373,3.0,-15.0,2.0
225000.0,-17402,2.0,-40.0,1.0
315000.0,-15586,2.0,-21.0,2.0
67500.0,-9047,1.0,-32.0,2.0
40500.0,-12729,2.0,-10.0,2.0
144000.0,-13761,3.0,-4.0,1.0
157500.0,-12135,4.0,-2.0,1.0
180000.0,-10309,2.0,-14.0,1.0
157500.0,-15462,2.0,-59.0,2.0
81000.0,-9874,1.0,-39.0,2.0
202500.0,-15904,4.0,-54.0,2.0
351000.0,-21574,2.0,-4.0,2.0
180000.0,-23269,2.0,-34.0,2.0
67500.0,-10350,3.0,-25.0,2.0
315000.0,-15653,2.0,-34.0,2.0
315000.0,-13557,2.0,-15.0,2.0
135000.0,-9818,1.0,-7.0,1.0
112500.0,-12690,2.0,-23.0,1.0
225000.0,-14816,2.0,-2.0,0.0
247500.0,-17862,2.0,-2.0,1.0
135000.0,-10314,2.0,0.0,0.0
216000.0,-15274,2.0,-53.0,2.0
180000.0,-11905,4.0,-38.0,1.0
135000.0,-23563,2.0,-27.0,2.0
184500.0,-18013,2.0,-41.0,1.0
112500.0,-12571,3.0,-45.0,2.0
270000.0,-13270,1.0,-56.0,2.0
360000.0,-20412,2.0,-45.0,2.0
450000.0,-14465,2.0,-59.0,2.0
45000.0,-20200,2.0,-30.0,2.0
202500.0,-18744,2.0,-20.0,2.0
135000.0,-12190,3.0,-5.0,2.0
202500.0,-19053,1.0,-22.0,1.0
180000.0,-23770,2.0,-26.0,2.0
79650.0,-16081,2.0,-14.0,2.0
450000.0,-23674,2.0,-56.0,2.0
157500.0,-9373,2.0,-46.0,2.0
450000.0,-10837,1.0,-5.0,2.0
270000.0,-19363,1.0,-35.0,2.0
135000.0,-22112,2.0,-9.0,2.0
81000.0,-19661,2.0,-2.0,1.0
135000.0,-12269,3.0,-12.0,2.0
315000.0,-15825,2.0,-12.0,2.0
225000.0,-15994,1.0,-7.0,0.0
135000.0,-9984,2.0,-5.0,2.0
90000.0,-16118,3.0,-47.0,2.0
306000.0,-9310,3.0,-4.0,1.0
153000.0,-10762,1.0,-22.0,2.0
126000.0,-22811,2.0,-13.0,2.0
315000.0,-12846,2.0,-57.0,2.0
225000.0,-16175,3.0,-44.0,2.0
193500.0,-17826,1.0,-4.0,2.0
90000.0,-17384,4.0,-36.0,1.0
135000.0,-11564,4.0,-43.0,2.0
81000.0,-20920,2.0,-49.0,2.0
382500.0,-14317,3.0,-11.0,2.0
202500.0,-16173,2.0,-27.0,2.0
112500.0,-18259,2.0,-47.0,2.0
144000.0,-12393,4.0,0.0,1.0
157500.0,-21497,1.0,-4.0,1.0
144000.0,-16641,2.0,-35.0,2.0
283500.0,-12902,4.0,-39.0,2.0
202500.0,-19431,2.0,-48.0,2.0
90000.0,-15525,4.0,-55.0,2.0
360000.0,-12483,2.0,-42.0,2.0
175500.0,-11709,2.0,-45.0,2.0
360000.0,-16537,3.0,-30.0,2.0
112500.0,-13741,3.0,-38.0,1.0
315000.0,-17537,3.0,-11.0,2.0
297000.0,-15519,1.0,-1.0,0.0
202500.0,-14228,2.0,-33.0,0.0
225000.0,-10559,2.0,-35.0,2.0
387000.0,-13168,3.0,-22.0,2.0
135000.0,-22991,1.0,-6.0,2.0
337500.0,-15333,2.0,-23.0,0.0
225000.0,-12640,3.0,-29.0,2.0
225000.0,-13591,3.0,-46.0,2.0
54000.0,-24367,2.0,-2.0,0.0
157500.0,-13590,2.0,-39.0,2.0
