Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.01,-0.147289477,0.87,0.19,1.17,-0.07,17.59057931,0
0.03,-0.141088745,0.76,0.62,0.94,-0.09,17.69632973,0
0.06,-0.145548297,0.74,0.06,0.38,0.17,15.93546801,0
0.1,-0.144926448,0.73,0.35,0.32,0.29,18.76854914,0
0.03,-0.12534706,0.66,0.54,0.63,0.14,16.52196722,0
0.07,-0.14577927,0.57,0.32,0.49,0.08,16.75008648,0
0.06,-0.142314678,0.7,0.03,0.94,0.15,17.047598,0
0.36,-0.159033557,0.32,0.27,0.04,-0.28,18.18145385,0
0.06,-0.133395574,0.62,0.27,0.47,0.27,16.74841602,0
0.14,-0.135794138,0.58,0,0.36,0.04,17.83452694,0
0.04,-0.157754323,0.21,0.23,-0.01,0.27,17.03084532,0
0.14,-0.094361168,0.29,0.16,0.57,0.58,16.71120816,0
0.09,-0.119430602,0.6,0.02,0.38,0.07,16.89988172,0
0.32,-0.158429474,0.5,0.02,0.2,0.1,16.12741509,0
0.19,-0.130357393,0.72,0.2,0.81,0.13,16.48071443,0
0.23,-0.093774852,0.22,0.03,0.47,0.32,15.98387213,0
0.03,-0.139436401,0.78,0.08,0.47,-0.02,16.59870806,0
0.01,-0.078104235,0.59,0.25,0.37,0.41,16.65757264,0
0.26,-0.146632093,0.69,0.03,0.25,0.24,17.51781129,0
0.24,2.185162869,0.19,0.32,0.92,0.47,18.46472295,0
0.04,-0.136540358,0.83,0.01,0.49,0.14,18.77771379,0
0.06,0.020396788,0.6,0.13,0.36,0.34,16.60631002,0
0.3,-0.14752045,0.61,0.07,0.2,0.02,17.33298958,0
0.05,-0.127319212,0.32,0.03,0.68,-0.01,18.30671081,0
0.24,-0.144944215,0.76,0.05,0.27,0.06,16.8696473,0
0.18,-0.145246256,0.69,0.02,0.49,0.1,17.21431962,0
0.16,-0.125809005,0.67,0,0.31,0.07,17.99299286,0
0.24,-0.145956942,0.82,0.26,0.29,0.02,16.76318016,0
0.13,-0.147236176,0.8,0.05,0.35,0.07,16.17393293,0
0.04,-0.168361305,0.34,0.26,-0.06,0.17,16.62598617,0
0.1,-0.144340132,0.38,0.29,0.42,0.17,15.9665091,0
